"ITEM_ID","ITEM_01_CD","ITEM_01_DSC","ITEM_02_CD","ITEM_02_DSC","ITEM_03_CD","ITEM_03_DSC","ITEM_TYPE_CD","ITEM_TYPE_DSC","BRAND_FAMILY_CD","BRAND_FAMILY_DSC","BRAND_CD","BRAND_DSC","SUB_BRAND_CD","SUB_BRAND_DSC","ITEM_PACK_TYPE_CD","ITEM_PACK_TYPE_DSC","GL_CLASS_CD","GL_CLASS_DSC","ITEM_SIZE_CD","ITEM_SIZE_DSC","MASTER_SKU_CD","MASTER_SKU_DSC","BEV_SEG_CD","MASTER_PKG_CD","MASTER_PKG_DSC","BEV_SEG_DSC","ALC_CONTENT_CD","ALC_CONTENT_DSC","BRAND_OWNER_CD","BRAND_OWNER_DSC","ITEM_PACK_CD","ITEM_PACK_DSC","ALCOHOL_PERCENT_LABEL_CD","ALCOHOL_PERCENT_LABEL_DSC","BEER_PROFILE_CD","BEER_PROFILE_DSC","ABV","IBU","BEER_PACKAGE_CD","BEER_PACKAGE_DSC","PACKAGE_FORMAT_CD","PACKAGE_FORMAT_DSC","BEER_STYLE_CD","BEER_STYLE_DSC","CASE_PACK_CD","CASE_PACK_DSC","STOCK_TYPE_CD","STOCK_TYPE_DSC","CONTAINER_ID_CD","CONTAINER_ID_DSC","COUNTRY_CD","COUNTRY_DSC","COMPONENT_SUB_TYPE_CD","COMPONENT_SUB_TYPE_DSC","UOM_PRIM_CD","UOM_PRIM_DSC"
16653,"151673","MODELO NEGRA 1/2 BL KEG","151673","KEG","151673","NEGRA MODELO 1/2 BL","102","FINISHED GOODS - CASE","737","MODELO FAMILY","437","MODELO NEGRA","2026","MODELO NEGRA KEG","240","1/2 BL (BEER)","1004","FG -  BEER - MODELO - KEG","178","1/2 BL (BEER)","80014012","MODELO NEGRA 1/2 BL KEG","101","437-102","MODELO NEGRA KEG","BEER","146","> 3.2%","101","CROWN IMPORTS","142","1 PACK (BEER)","146","> 3.2%","","",5.4,,"","","","","","","","","S","STOCK END-ITEM","102","KEG","225","MEXICO","260","KEG","BL","BARRELS"
17156,"152254","MODELO ESP 12PK DEP CAN TRPK","152254","DEP TRPK CAN","152254","TRPK MODELO ESP 12PK CAN DEP","102","FINISHED GOODS - CASE","737","MODELO FAMILY","416","MODELO ESPECIAL","2023","MODELO ESPECIAL CAN","109","12/24 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80013518","MODELO ESP 12PK CAN","101","416-556-101","MODELO ESPECIAL 12OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","139","12 PACK (BEER)","146","> 3.2%","102","REGULAR",,,"222","12/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","101","2 PACK","O","OBSOLETE","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
18106,"153218","CORONA EX 24OZ NDP CAN","153218","NDP CAN","153218","CORONA EXTRA 24OZ CAN NDP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1228","CORONA EXTRA CAN","192","24/12 (BEER)","1003","FG -  BEER - MODELO -CASE","541","24 OUNCE (BEER)","80014014","CORONA EX 24OZ CAN LSE","101","228-541-101","CORONA EXTRA 24OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"235","12/24C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
18834,"153925","CORONA FAMILIAR 32OZ DEP BT","153925","DEP BT","153925","CORONA FAMILIAR BT DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","228","CORONA EXTRA","1232","CORONA FAMILIAR","205","32/12 (BEER)","1003","FG -  BEER - MODELO -CASE","542","32 OUNCE (BEER)","80013461","CORONA FAMILIAR 32OZ BT","101","228-542-100","CORONA EXTRA 32OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","102","REGULAR",4.6,18,"239","12/32B","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
18835,"153926","PACIFICO BALLENA 32OZ NDP BT","153926","NDP BT","153926","PACIFICO BALLENA BT NDP","102","FINISHED GOODS - CASE","738","PACIFICO FAMILY","471","PACIFICO","1615","PACIFICO BALLENA","205","32/12 (BEER)","1003","FG -  BEER - MODELO -CASE","542","32 OUNCE (BEER)","80014007","PACIFICO BALLENA 32OZ BT","101","471-542-100","PACIFICO 32OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","102","REGULAR",4.4,18,"176","1/32B","104","SINGLE","122","OTHER PALE LAGERS","107","12 PACK","O","OBSOLETE","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
18836,"153927","PACIFICO BALLENA 32OZ DEP BT","153927","DEP BT","153927","PACIFICO BALLENA BT DEP","102","FINISHED GOODS - CASE","738","PACIFICO FAMILY","471","PACIFICO","1615","PACIFICO BALLENA","205","32/12 (BEER)","1003","FG -  BEER - MODELO -CASE","542","32 OUNCE (BEER)","80014007","PACIFICO BALLENA 32OZ BT","101","471-542-100","PACIFICO 32OZ BT","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","102","REGULAR",4.4,18,"176","1/32B","104","SINGLE","122","OTHER PALE LAGERS","107","12 PACK","S","STOCK END-ITEM","100","BOTTLE","225","MEXICO","028","OTHER GLASS","CA","CASE"
18621,"153713","MODELO ESP 3.2 18PK DEP CAN","153713","DEP CAN","153713","MODELO ESPECIAL 3.2 18PK CAN","102","FINISHED GOODS - CASE","737","MODELO FAMILY","416","MODELO ESPECIAL","2023","MODELO ESPECIAL CAN","108","12/18 (BEER)","1003","FG -  BEER - MODELO -CASE","556","12 OUNCE (BEER)","80014023","MODELO ESP 3.2 18PK CAN","101","416-556-101","MODELO ESPECIAL 12OZ CAN","BEER","103","3.2%","101","CROWN IMPORTS","140","18 PACK (BEER)","103","3.2%","102","REGULAR",4.4,,"268","18/12C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","S","STOCK END-ITEM","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
18362,"153457","MODELO ESP 24OZ 3PK NDP CAN","153457","NDP CAN","153457","ME 24OZ CAN 3PK NDP","102","FINISHED GOODS - CASE","737","MODELO FAMILY","416","MODELO ESPECIAL","2023","MODELO ESPECIAL CAN","192","24/12 (BEER)","1003","FG -  BEER - MODELO -CASE","541","24 OUNCE (BEER)","80014006","MODELO ESP 24OZ 3PK CAN","101","416-541-101","MODELO ESPECIAL 24OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","137","3 PACK (BEER)","146","> 3.2%","102","REGULAR",,,"235","12/24C","103","MULTI-PACK","122","OTHER PALE LAGERS","100","1 PACK","O","OBSOLETE","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
18365,"153461","CORONA LT 24OZ NDP CAN","153461","NDP CAN","153461","CORONA LIGHT 24OZ CAN NDP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","229","CORONA LIGHT","1428","CORONA LIGHT CAN","192","24/12 (BEER)","1003","FG -  BEER - MODELO -CASE","541","24 OUNCE (BEER)","80013472","CORONA LT 24OZ CAN","101","229-541-101","CORONA LIGHT 24OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","101","LIGHT",4.1,18,"235","12/24C","103","MULTI-PACK","117","LIGHT BEER","100","1 PACK","O","OBSOLETE","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
18369,"153465","CORONA LT 24OZ DEP CAN","153465","DEP CAN","153465","CORONA LIGHT 24OZ CAN DEP","102","FINISHED GOODS - CASE","736","CORONA FAMILY","229","CORONA LIGHT","1428","CORONA LIGHT CAN","192","24/12 (BEER)","1003","FG -  BEER - MODELO -CASE","541","24 OUNCE (BEER)","80013472","CORONA LT 24OZ CAN","101","229-541-101","CORONA LIGHT 24OZ CAN","BEER","146","> 3.2%","101","CROWN IMPORTS","143","12 (BEER)","146","> 3.2%","101","LIGHT",4.1,18,"235","12/24C","103","MULTI-PACK","117","LIGHT BEER","100","1 PACK","O","OBSOLETE","101","CAN(S)","225","MEXICO","259","CAN","CA","CASE"
